id,name,reportReference,reportTitle,reportYear,reportAuthor,structure,structureOther,chemistry,chemistryOther,modification,modificationOther,characterization,otherSolutes,A,B,AB,Rreal,Robs,filtrationMode,hydraulicP,NaCl conc (M),Pw,Ps,osmoticP,cpMode,CP,thickness,roughness,CA,pwPs,couponSize,pH
344,IP,10.1016/j.memsci.2015.04.015,Molecular layer-by-layer assembled forward osmosis membranes,2015,Kwon,Polymeric TFC,,Polyamide,,Synthesis: deposition method,,SEM;TEM,No,0.84,0.51,1.56,89.49,89.1,Cross-flow,5,0.0034,,,0.13,CP calculated assuming kf = 100,1.04,,,,,1.33,
345,mlbl-0,10.1016/j.memsci.2015.04.015,Molecular layer-by-layer assembled forward osmosis membranes,2015,Kwon,Polymeric TFC,,Polyamide,,Synthesis: deposition method,,,No,8.53,40.06,0.21,60.75,50.5,Cross-flow,5,0.0034,,,0.08,CP calculated assuming kf = 100,1.26,,,,,1.33,
346,mlbl-5,10.1016/j.memsci.2015.04.015,Molecular layer-by-layer assembled forward osmosis membranes,2015,Kwon,Polymeric TFC,,Polyamide,,Synthesis: deposition method,,,No,4.78,4.24,1.13,87.29,84.5,Cross-flow,5,0.0034,,,0.13,CP calculated assuming kf = 100,1.26,,,,,1.33,
347,mlbl-8,10.1016/j.memsci.2015.04.015,Molecular layer-by-layer assembled forward osmosis membranes,2015,Kwon,Polymeric TFC,,Polyamide,,Synthesis: deposition method,,,No,3.53,2.46,1.43,89.25,87.5,Cross-flow,5,0.0034,,,0.14,CP calculated assuming kf = 100,1.19,,,,,1.33,
348,mlbl-10,10.1016/j.memsci.2015.04.015,Molecular layer-by-layer assembled forward osmosis membranes,2015,Kwon,Polymeric TFC,,Polyamide,,Synthesis: deposition method,,,No,2.72,1.07,2.53,93.27,92.4,Cross-flow,5,0.0034,,,0.14,CP calculated assuming kf = 100,1.1,,,,,1.33,
349,mlbl-12,10.1016/j.memsci.2015.04.015,Molecular layer-by-layer assembled forward osmosis membranes,2015,Kwon,Polymeric TFC,,Polyamide,,Synthesis: deposition method,,,No,1.92,0.68,2.82,94.23,93.7,Cross-flow,5,0.0034,,,0.14,CP calculated assuming kf = 100,1.1,,,,,1.33,
350,SWC5-MAX,https://membranes.com/wp-content/uploads/Documents/Element-Specification-Sheets/RO/SWC/SWC5-MAX.pdf,Hydraunautics SWC5-MAX,2019,Hydranautics – A Nitto Group Company,Polymeric TFC,,Polyamide,,No modification,,,No,2.17,0.0784,27.678571428571427,99.8,99.7,Cross-flow,55.1581,0.5476,,,25.62,CP calculated assuming kf = 100,1.47,,,,,409000,7
351,SWC5-LD-4040,https://membranes.com/wp-content/uploads/Documents/Element-Specification-Sheets/RO/SWC/SWC5-LD-4040.pdf,Hydraunautics SWC5-LD-4040,2021,Hydranautics – A Nitto Group Company,Polymeric TFC,,Polyamide,,No modification,,,No,2.05,0.1287,15.928515928515926,99.65,99.5,Cross-flow,55.1581,0.5476,,,25.57,CP calculated assuming kf = 100,1.45,,,,,74300,7
352,SWC5-LD,https://membranes.com/wp-content/uploads/Documents/Element-Specification-Sheets/RO/SWC/SWC5-LD.pdf,Hydraunautics SWC5-LD-4040,2019,Hydranautics – A Nitto Group Company,Polymeric TFC,,Polyamide,,No modification,,,No,2.17,0.0784,27.678571428571427,99.8,99.7,Cross-flow,55.1581,0.5476,,,25.62,CP calculated assuming kf = 100,1.47,,,,,37200,7
353,Control,10.1016/j.cej.2013.09.081,A novel thin film composite forward osmosis membrane prepared from PSf–TiO2 nanocomposite substrate for water desalination,2014,Emadzadeh,Polymeric TFC,,Polyamide,,No modification,,SEM;FTIR,No,1.83,0.1368,13.37719298245614,95.62,95.49,Cross-flow,2.5,0.02,,,0.85,CP calculated assuming kf = 100,1.03,,23.91,,,14.62,
354,TFN-0.5,10.1016/j.cej.2013.09.081,A novel thin film composite forward osmosis membrane prepared from PSf–TiO2 nanocomposite substrate for water desalination,2014,Emadzadeh,TFN / Hybrid,,Polyamide;Other,Adding TiO2 in substrate,Synthesis: support,,SEM;FTIR,No,3.14,0.3754,8.4,93.17,92.84,Cross-flow,2.5,0.02,,,0.82,CP calculated assuming kf = 100,1.05,,28.39,,,14.62,
357,Control-TFC,10.1016/j.memsci.2012.08.049,"Effect of polydopamine deposition conditions on fouling resistance, physical properties, and permeation properties of reverse osmosis membranes in oil/water separation",2013,Kasemset,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,9.08,0.6496,13.977832512315272,99.31,98.5,Cross-flow,10.3,0.03,,,1.49,CP calculated assuming kf = 100,2.17,,,20.1,,19,8
358,TFC-PDA-25min,10.1016/j.memsci.2012.08.049,"Effect of polydopamine deposition conditions on fouling resistance, physical properties, and permeation properties of reverse osmosis membranes in oil/water separation",2013,Kasemset,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,8.77,0.9121,9.6,99,98.36,Cross-flow,10.3,0.03,,,1.48,CP calculated assuming kf = 100,1.64,,,,,19,8
359,TFC-PDA-60min,10.1016/j.memsci.2012.08.049,"Effect of polydopamine deposition conditions on fouling resistance, physical properties, and permeation properties of reverse osmosis membranes in oil/water separation",2013,Kasemset,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,7.99,0.8985,8.9,98.92,98.33,Cross-flow,10.3,0.03,,,1.48,CP calculated assuming kf = 100,1.55,,,,,19,8
360,TFC-PDA-120min,10.1016/j.memsci.2012.08.049,"Effect of polydopamine deposition conditions on fouling resistance, physical properties, and permeation properties of reverse osmosis membranes in oil/water separation",2013,Kasemset,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,7.61,1.113,6.8,98.6,98.24,Cross-flow,10.3,0.03,,,1.48,CP calculated assuming kf = 100,1.26,,,,,19,8
361,TFC-PDA-0.1g/L,10.1016/j.memsci.2012.08.049,"Effect of polydopamine deposition conditions on fouling resistance, physical properties, and permeation properties of reverse osmosis membranes in oil/water separation",2013,Kasemset,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,8.58,0.7803,11,99.13,98.17,Cross-flow,10.3,0.03,,,1.48,CP calculated assuming kf = 100,2.1,,,19,,19,8
362,TFC-PDA-0.5g/L,10.1016/j.memsci.2012.08.049,"Effect of polydopamine deposition conditions on fouling resistance, physical properties, and permeation properties of reverse osmosis membranes in oil/water separation",2013,Kasemset,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,8.2,0.8701,9.4,98.98,98.47,Cross-flow,10.3,0.03,,,1.49,CP calculated assuming kf = 100,1.5,,,20,,19,8
363,TFC-PDA-2g/L,10.1016/j.memsci.2012.08.049,"Effect of polydopamine deposition conditions on fouling resistance, physical properties, and permeation properties of reverse osmosis membranes in oil/water separation",2013,Kasemset,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,7.99,0.8898,9,98.93,98.33,Cross-flow,10.3,0.03,,,1.48,CP calculated assuming kf = 100,1.56,,,19,,19,8
364,TFC-PDA-4g/L,10.1016/j.memsci.2012.08.049,"Effect of polydopamine deposition conditions on fouling resistance, physical properties, and permeation properties of reverse osmosis membranes in oil/water separation",2013,Kasemset,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,7.95,1.0455,7.6,98.74,98.01,Cross-flow,10.3,0.03,,,1.48,CP calculated assuming kf = 100,1.58,,,19,,19,8
365,TFC-PDA-8g/L,10.1016/j.memsci.2012.08.049,"Effect of polydopamine deposition conditions on fouling resistance, physical properties, and permeation properties of reverse osmosis membranes in oil/water separation",2013,Kasemset,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,7.76,1.0769,7.2,98.67,97.96,Cross-flow,10.3,0.03,,,1.48,CP calculated assuming kf = 100,1.53,,,19,,19,8
366,TFC-PDA-Tris-pH=5,10.1016/j.memsci.2012.08.049,"Effect of polydopamine deposition conditions on fouling resistance, physical properties, and permeation properties of reverse osmosis membranes in oil/water separation",2013,Kasemset,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,9.04,0.6562,13.8,99.3,98.7,Cross-flow,10.3,0.03,,,1.49,CP calculated assuming kf = 100,1.86,,,,,19,8
367,TFC-PDA-Tris-pH=11,10.1016/j.memsci.2012.08.049,"Effect of polydopamine deposition conditions on fouling resistance, physical properties, and permeation properties of reverse osmosis membranes in oil/water separation",2013,Kasemset,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,7.05,0.7706,9.1,98.95,92.2,Cross-flow,10.3,0.03,,,1.39,CP calculated assuming kf = 100,2.07,,,,,19,8
368,Control-TFC,10.1016/j.desal.2019.04.029,Antibacterial thin film nanocomposite reverse osmosis membrane by doping silver phosphate loaded graphene oxide quantum dots in polyamide layer,2019,Li,Polymeric TFC,,Polyamide,,No modification,,SEM;Zeta potential;AFM,No,1.82,0.36591037735849,5,98.59,98.19,Cross-flow,16,0.034,,,1.48,CP calculated assuming kf = 100,1.29,,88,82.45,,18.75,
369,TFN-10mg/L,10.1016/j.desal.2019.04.029,Antibacterial thin film nanocomposite reverse osmosis membrane by doping silver phosphate loaded graphene oxide quantum dots in polyamide layer,2019,Li,TFN / Hybrid,,Polyamide;Graphene oxide,,No modification,,SEM;Zeta potential;AFM,No,2.01,0.4938,4.1,98.28,97.73,Cross-flow,16,0.034,,,1.48,CP calculated assuming kf = 100,1.33,,,74.28,,18.75,
370,TFN-20mg/L,10.1016/j.desal.2019.04.029,Antibacterial thin film nanocomposite reverse osmosis membrane by doping silver phosphate loaded graphene oxide quantum dots in polyamide layer,2019,Li,TFN / Hybrid,,Polyamide;Graphene oxide,,No modification,,SEM;Zeta potential;AFM,No,2.3,0.5819,4,98.22,97.5667,Cross-flow,16,0.034,,,1.47,CP calculated assuming kf = 100,1.38,,,70.69,,18.75,
371,TFN-50mg/L,10.1016/j.desal.2019.04.029,Antibacterial thin film nanocomposite reverse osmosis membrane by doping silver phosphate loaded graphene oxide quantum dots in polyamide layer,2019,Li,TFN / Hybrid,,Polyamide;Graphene oxide,,No modification,,SEM;Zeta potential;AFM,No,2.87,0.4699,6.1,98.83,98.2677,Cross-flow,16,0.034,,,1.48,CP calculated assuming kf = 100,1.49,,101,68.2,,18.75,
372,TFN-100mg/L,10.1016/j.desal.2019.04.029,Antibacterial thin film nanocomposite reverse osmosis membrane by doping silver phosphate loaded graphene oxide quantum dots in polyamide layer,2019,Li,TFN / Hybrid,,Polyamide;Graphene oxide,,No modification,,SEM;Zeta potential;AFM,No,2.94,3.0299,1,93.12,89.98,Cross-flow,16,0.034,,,1.36,CP calculated assuming kf = 100,1.51,,128,65.34,,18.75,
373,Control-TFC,10.1016/j.desal.2016.06.009,Plasma-induced physicochemical effects on a poly(amide) thin-film composite membrane,2017,Reise,Polymeric TFC,,Polyamide,,No modification,,SEM;AFM,No,2.28,0.3559,6.406293902781679,98.81,98.41,Cross-flow,15,0.034,,,1.49,CP calculated assuming kf = 100,1.34,,62.95,47.1,,42,
374,TFC-Water-10W-1min,10.1016/j.desal.2016.06.009,Plasma-induced physicochemical effects on a poly(amide) thin-film composite membrane,2017,Reise,Polymeric TFC,,Polyamide,,Post-treatment: surface,,SEM;AFM,No,1.88,0.3946,4.8,98.42,97.99,Cross-flow,15,0.034,,,1.48,CP calculated assuming kf = 100,1.28,,43.2,17.44,,42,
375,TFC-Water-10W-2min,10.1016/j.desal.2016.06.009,Plasma-induced physicochemical effects on a poly(amide) thin-film composite membrane,2017,Reise,Polymeric TFC,,Polyamide,,Post-treatment: surface,,SEM;AFM,No,2.08,0.3532,5.9,98.71,98.32,Cross-flow,15,0.034,,,1.48,CP calculated assuming kf = 100,1.31,,58.26,14.39,,42,
376,TFC-Water-10W-5min,10.1016/j.desal.2016.06.009,Plasma-induced physicochemical effects on a poly(amide) thin-film composite membrane,2017,Reise,Polymeric TFC,,Polyamide,,Post-treatment: surface,,SEM;AFM,No,1.98,0.3743,5.3,98.57,98.16,Cross-flow,15,0.034,,,1.48,CP calculated assuming kf = 100,1.3,,57.29,27.86,,42,
377,TFC-Water-80W-1min,10.1016/j.desal.2016.06.009,Plasma-induced physicochemical effects on a poly(amide) thin-film composite membrane,2017,Reise,Polymeric TFC,,Polyamide,,Post-treatment: surface,,SEM;AFM,No,0.77,0.174,4.4,98.34,98.16,Cross-flow,15,0.034,,,1.48,CP calculated assuming kf = 100,1.11,,57.46,16.14,,42,
378,TFC-Water-80W-2min,10.1016/j.desal.2016.06.009,Plasma-induced physicochemical effects on a poly(amide) thin-film composite membrane,2017,Reise,Polymeric TFC,,Polyamide,,Post-treatment: surface,,SEM;AFM,No,1.08,0.1785,6,98.77,98.58,Cross-flow,15,0.034,,,1.48,CP calculated assuming kf = 100,1.15,,36.58,26.67,,42,
379,TFC-Water-80W-5min,10.1016/j.desal.2016.06.009,Plasma-induced physicochemical effects on a poly(amide) thin-film composite membrane,2017,Reise,Polymeric TFC,,Polyamide,,Post-treatment: surface,,SEM;AFM,No,1.61,3.3089,0.5,86.71,84.02,Cross-flow,15,0.034,,,1.27,CP calculated assuming kf = 100,1.24,,47.78,19.77,,42,
380,TFC-Helium-10W-1min,10.1016/j.desal.2016.06.009,Plasma-induced physicochemical effects on a poly(amide) thin-film composite membrane,2017,Reise,Polymeric TFC,,Polyamide,,Post-treatment: surface,,SEM;AFM,No,2.66,0.4843,5.5,98.61,98.05,Cross-flow,15,0.034,,,1.48,CP calculated assuming kf = 100,1.41,,60.08,13.32,,42,
381,TFC-Helium-10W-2min,10.1016/j.desal.2016.06.009,Plasma-induced physicochemical effects on a poly(amide) thin-film composite membrane,2017,Reise,Polymeric TFC,,Polyamide,,Post-treatment: surface,,SEM;AFM,No,2.71,0.9108,3,97.47,96.44,Cross-flow,15,0.034,,,1.46,CP calculated assuming kf = 100,1.42,,58.08,11.31,,42,
382,TFC-Helium-10W-5min,10.1016/j.desal.2016.06.009,Plasma-induced physicochemical effects on a poly(amide) thin-film composite membrane,2017,Reise,Polymeric TFC,,Polyamide,,Post-treatment: surface,,SEM;AFM,No,3.93,0.7004,5.6,98.6,97.73,Cross-flow,15,0.034,,,1.48,CP calculated assuming kf = 100,1.64,,70.59,10.29,,42,
383,TFC-Helium-80W-1min,10.1016/j.desal.2016.06.009,Plasma-induced physicochemical effects on a poly(amide) thin-film composite membrane,2017,Reise,Polymeric TFC,,Polyamide,,Post-treatment: surface,,SEM;AFM,No,0.66,0.2005,3.3,97.77,97.57,Cross-flow,15,0.034,,,1.47,CP calculated assuming kf = 100,1.09,,40.46,16.93,,42,
384,TFC-Helium-80W-2min,10.1016/j.desal.2016.06.009,Plasma-induced physicochemical effects on a poly(amide) thin-film composite membrane,2017,Reise,Polymeric TFC,,Polyamide,,Post-treatment: surface,,SEM;AFM,No,1.03,0.2273,4.6,98.38,98.14,Cross-flow,15,0.034,,,1.48,CP calculated assuming kf = 100,1.15,,42.27,15.21,,42,
385,TFC-Helium-80W-5min,10.1016/j.desal.2016.06.009,Plasma-induced physicochemical effects on a poly(amide) thin-film composite membrane,2017,Reise,Polymeric TFC,,Polyamide,,Post-treatment: surface,,SEM;AFM,No,1.45,0.1838,7.9,99.05,98.85,Cross-flow,15,0.034,,,1.49,CP calculated assuming kf = 100,1.21,,40.57,11.55,,42,
386,TFC#C,10.1016/j.desal.2016.04.003,Synthesis and characterization of thin film nanocomposite forward osmosis membranes supported by silica nanoparticle incorporated nanofibrous substrate,2017,Tian,Polymeric TFC,,Polyamide,,No modification,,AFM;SEM,No,2.2,0.31,7.096774193548388,76.19,78.2,Cross-flow,0.52,0.002,,,0.07,As reported,,,,127,,40,
387,TFN#1,10.1016/j.desal.2016.04.003,Synthesis and characterization of thin film nanocomposite forward osmosis membranes supported by silica nanoparticle incorporated nanofibrous substrate,2017,Tian,Polymeric TFC,,Polyamide,,Synthesis: additives,,AFM;SEM,No,2.31,0.29,7.965517241379311,78.22,78.2,Cross-flow,0.52,0.002,,,0.07,As reported,,,,125,,40,
388,TFN#2,10.1016/j.desal.2016.04.003,Synthesis and characterization of thin film nanocomposite forward osmosis membranes supported by silica nanoparticle incorporated nanofibrous substrate,2017,Tian,Polymeric TFC,,Polyamide,,Synthesis: additives,,AFM;SEM,No,2.65,0.34,7.7941176470588225,77.95,75.2,Cross-flow,0.52,0.002,,,0.07,As reported,,,,131,,40,
389,TFN#3,10.1016/j.desal.2016.04.003,Synthesis and characterization of thin film nanocomposite forward osmosis membranes supported by silica nanoparticle incorporated nanofibrous substrate,2017,Tian,Polymeric TFC,,Polyamide,,Synthesis: additives,,AFM;SEM,No,2.99,0.41,7.292682926829269,76.85,73.2,Cross-flow,0.52,0.002,,,0.06,As reported,,,,129,,40,
391,GO-100,10.1016/j.memsci.2016.12.066,Controlling Interlayer Spacing of Graphene Oxide Membranes by External Pressure Regulation,2018,Li,Inorganic,,Graphene oxide,,Other,Post-treatment: compaction,AFM;SEM,No,77.33,8102,0.00954455689953098,36.36,36.36,Dead-end,60,0.0086,0.00000966,7.43e-7,0.14,Not available,,33,37,,13.001345895020188,,
392,GO-400,10.1016/j.memsci.2016.12.066,Controlling Interlayer Spacing of Graphene Oxide Membranes by External Pressure Regulation,2018,Li,Inorganic,,Graphene oxide,,Other,Post-treatment: compaction,AFM;SEM,No,22.11,65.46,0.3377635197066911,95.27,95.27,Dead-end,60,0.0086,0.0000109,2.36e-8,0.36,Not available,,130,55.7,,461.86440677966107,,
393,GO-800,10.1016/j.memsci.2016.12.066,Controlling Interlayer Spacing of Graphene Oxide Membranes by External Pressure Regulation,2018,Li,Inorganic,,Graphene oxide,,Other,Post-treatment: compaction,AFM;SEM,No,12.44,25.08,0.4960127591706539,96.73,96.73,Dead-end,60,0.0086,0.0000118,1.74e-8,0.37,Not available,,250,72.2,,678.1609195402299,,
394,MT-0,10.1016/j.memsci.2017.04.038,Improved performance of thin-film composite membrane with PVDF/PFSA substrate for forward osmosis process,2017,Zhang,Polymeric TFC,,Polyamide,,Synthesis: support,,AFM;FTIR;SEM,No,0.11,0.93,0.11827956989247311,97.03,15.2,Cross-flow,2,0.01,0.00000299,1.34e-10,0.07,Not available,,52,53.6,97.2,22313.432835820895,4.13,
395,MT-1,10.1016/j.memsci.2017.04.038,Improved performance of thin-film composite membrane with PVDF/PFSA substrate for forward osmosis process,2017,Zhang,Polymeric TFC,,Polyamide,,Synthesis: support,,AFM;FTIR;SEM,No,0.57,0.16,3.5624999999999996,99.9,83.2,Cross-flow,2,0.01,0.0000152,2.15e-11,0.37,Not available,,48.3,91,92.7,706976.7441860465,4.13,
396,MT-2,10.1016/j.memsci.2017.04.038,Improved performance of thin-film composite membrane with PVDF/PFSA substrate for forward osmosis process,2017,Zhang,Polymeric TFC,,Polyamide,,Synthesis: support,,AFM;FTIR;SEM,No,1.49,0.31,4.806451612903226,99.82,87.8,Cross-flow,2,0.01,0.000021,5.44e-11,0.39,Not available,,63.2,112.1,87.3,386029.41176470584,4.13,
397,MT-3,10.1016/j.memsci.2017.04.038,Improved performance of thin-film composite membrane with PVDF/PFSA substrate for forward osmosis process,2017,Zhang,Polymeric TFC,,Polyamide,,Synthesis: support,,AFM;FTIR;SEM,No,2.97,0.39,7.615384615384616,99.79,92.2,Cross-flow,2,0.01,0.0000231,7.16e-11,0.41,Not available,,66.1,116.6,84.9,322625.6983240223,4.13,
398,MT-5,10.1016/j.memsci.2017.04.038,Improved performance of thin-film composite membrane with PVDF/PFSA substrate for forward osmosis process,2017,Zhang,Polymeric TFC,,Polyamide,,Synthesis: support,,AFM;FTIR;SEM,No,2.31,0.38,6.078947368421053,99.8,92.9,Cross-flow,2,0.01,0.0000263,7.9e-11,0.41,Not available,,74.8,176.5,81.5,332911.39240506326,4.13,
399,TFC_Flat_control,10.1016/j.memsci.2017.01.046,Surface micro-patterning as a promising platform towards novel polyamide thin-film composite membranes of superior performance,2017,ElSherbiny,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;FTIR;Zeta potential;AFM,No,0.05,0.0297,1.6835016835016836,95.7,95.67,Dead-end,16,0.0342,,,1.45,CP calculated assuming kf = 100,1.01,,20,,,28,
400,TFC_Flat_A,10.1016/j.memsci.2017.01.046,Surface micro-patterning as a promising platform towards novel polyamide thin-film composite membranes of superior performance,2017,ElSherbiny,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;FTIR;Zeta potential;AFM,No,0.04,0.0271,1.4760147601476015,95.87,95.85,Dead-end,16,0.0342,,,1.46,CP calculated assuming kf = 100,1.01,,20,,,28,
401,TFC_Flat_B,10.1016/j.memsci.2017.01.046,Surface micro-patterning as a promising platform towards novel polyamide thin-film composite membranes of superior performance,2017,ElSherbiny,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;FTIR;Zeta potential;AFM,No,0.03,0.0154,1.9480519480519478,96.82,96.81,Dead-end,16,0.0342,,,1.47,CP calculated assuming kf = 100,1,,20,,,28,
402,TFC_PSμM_control,10.1016/j.memsci.2017.01.046,Surface micro-patterning as a promising platform towards novel polyamide thin-film composite membranes of superior performance,2017,ElSherbiny,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;FTIR;Zeta potential;AFM,No,0.1,0.045,2.2222222222222223,96.88,96.84,Dead-end,16,0.0342,,,1.47,CP calculated assuming kf = 100,1.01,,598,,,28,
403,TFC_PSμM_A,10.1016/j.memsci.2017.01.046,Surface micro-patterning as a promising platform towards novel polyamide thin-film composite membranes of superior performance,2017,ElSherbiny,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;FTIR;Zeta potential;AFM,No,0.1,0.0426,2.347417840375587,97.05,97.01,Dead-end,16,0.0342,,,1.47,CP calculated assuming kf = 100,1.01,,598,,,28,
404,TFC_PSμM_B,10.1016/j.memsci.2017.01.046,Surface micro-patterning as a promising platform towards novel polyamide thin-film composite membranes of superior performance,2017,ElSherbiny,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;FTIR;Zeta potential;AFM,No,0.1,0.0426,2.347417840375587,97.05,97.01,Dead-end,16,0.0342,,,1.47,CP calculated assuming kf = 100,1.01,,598,,,28,
405,TFC_MIL_control,10.1016/j.memsci.2017.01.046,Surface micro-patterning as a promising platform towards novel polyamide thin-film composite membranes of superior performance,2017,ElSherbiny,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;FTIR;Zeta potential;AFM,No,0.11,0.0636,1.7295597484276728,96.18,96.12,Dead-end,16,0.0342,,,1.46,CP calculated assuming kf = 100,1.01,,319,,,28,
406,TFC_MIL_A,10.1016/j.memsci.2017.01.046,Surface micro-patterning as a promising platform towards novel polyamide thin-film composite membranes of superior performance,2017,ElSherbiny,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;FTIR;Zeta potential;AFM,No,0.11,0.0492,2.2357723577235773,97,96.95,Dead-end,16,0.0342,,,1.47,CP calculated assuming kf = 100,1.02,,319,,,28,
407,TFC_MIL_B,10.1016/j.memsci.2017.01.046,Surface micro-patterning as a promising platform towards novel polyamide thin-film composite membranes of superior performance,2017,ElSherbiny,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;FTIR;Zeta potential;AFM,No,1.6,0.0219,73.05936073059361,99.91,96.84,Dead-end,16,0.0342,,,1.47,CP calculated assuming kf = 100,1,,319,,,28,
408,TFC_Flat,10.1016/j.memsci.2017.01.046,Surface micro-patterning as a promising platform towards novel polyamide thin-film composite membranes of superior performance,2017,ElSherbiny,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;FTIR;Zeta potential;AFM,No,0.31,0.1971,1.5728056823947234,92.55,91.6,Cross-flow,16,0.1711,,,7.07,CP calculated assuming kf = 100,1.14,,,,,28,
409,TFC_PSμM (||),10.1016/j.memsci.2017.01.046,Surface micro-patterning as a promising platform towards novel polyamide thin-film composite membranes of superior performance,2017,ElSherbiny,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;FTIR;Zeta potential;AFM,No,1.35,0.6412,2.1054273237679353,94.47,94,Cross-flow,16,0.1711,,,7.25,CP calculated assuming kf = 100,1.09,,,,,28,
410,TFC_PSμM (⊥),10.1016/j.memsci.2017.01.046,Surface micro-patterning as a promising platform towards novel polyamide thin-film composite membranes of superior performance,2017,ElSherbiny,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;FTIR;Zeta potential;AFM,No,0.88,0.4686,1.8779342723004695,93.3,92,Cross-flow,16,0.1711,,,7.1,CP calculated assuming kf = 100,1.21,,,,,28,
411,TFC_MIL (||),10.1016/j.memsci.2017.01.046,Surface micro-patterning as a promising platform towards novel polyamide thin-film composite membranes of superior performance,2017,ElSherbiny,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;FTIR;Zeta potential;AFM,No,1.54,0.7299,2.1098780654884233,94.25,93.5,Cross-flow,16,0.1711,,,7.21,CP calculated assuming kf = 100,1.14,,,,,28,
412,TFC_MIL (⊥),10.1016/j.memsci.2017.01.046,Surface micro-patterning as a promising platform towards novel polyamide thin-film composite membranes of superior performance,2017,ElSherbiny,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;FTIR;Zeta potential;AFM,No,0.85,0.5487,1.5491160925824676,92.64,91.9,Cross-flow,16,0.1711,,,7.09,CP calculated assuming kf = 100,1.11,,,,,28,
413,4040-BW,https://www.microdyn-nadir.com/wp-content/uploads/MICRODYN-RO-BW.pdf,High Rejection Brackish Water RO Elements,2020,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,3.59,0.1509,23.790589794565935,99.69,99.5,Cross-flow,15.5,0.0257,,,1.13,CP calculated assuming kf = 100,1.63,,,,,,8
414,4040-LE,https://www.microdyn-nadir.com/wp-content/uploads/MICRODYN-RO-LE.pdf,Low Energy Brackish Water RO Elements,2020,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,5.12,0.1992,25.702811244979923,99.55,99.3,Cross-flow,10.3,0.0257,,,1.13,CP calculated assuming kf = 100,1.55,,,,,,8
415,4040-FR,https://www.microdyn-nadir.com/wp-content/uploads/MICRODYN-RO-FR.pdf,Fouling-Resistant Brackish Water RO Elements,2020,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,3.3,0.1446,22.821576763485474,99.68,99.5,Cross-flow,15.5,0.0257,,,1.13,CP calculated assuming kf = 100,1.57,,,,,,
416,4040-XLE,https://www.microdyn-nadir.com/wp-content/uploads/MICRODYN-RO-XLE.pdf,Lowest Energy Brackish Water RO Elements,2020,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,8.24,0.2486,33.14561544650041,99.52,99.2,Cross-flow,6.9,0.008,,,0.37,CP calculated assuming kf = 100,1.68,,,,,,8
417,4040-SWH,https://www.microdyn-nadir.com/wp-content/uploads/MICRODYN-RO-SWH.pdf,High Rejection Seawater RO Elements,2021,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,1.76,0.0967,18.200620475698038,99.71,99.6,Cross-flow,55,0.55,,,25.56,CP calculated assuming kf = 100,1.4,,,,,,8
418,8040-SWH-400,https://www.microdyn-nadir.com/wp-content/uploads/MICRODYN-RO-SWH.pdf,High Rejection Seawater RO Elements,2021,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,1.16,0.0355,32.67605633802817,99.86,99.82,Cross-flow,55,0.55,,,25.51,CP calculated assuming kf = 100,1.29,,,,,,8
419,4040-SWL,https://www.microdyn-nadir.com/wp-content/uploads/MICRODYN-RO-SWL.pdf,High Productivity Seawater RO Elements,2021,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,2.26,0.1595,14.169278996865202,99.59,99.4,Cross-flow,55,0.55,,,25.51,CP calculated assuming kf = 100,1.48,,,,,,8
